# wavelength[µm] (rp/rs)^2 error
1.00000000e+01 3.85626856e-04 3.85626856e-09
9.96496085e+00 3.85621276e-04 3.85621276e-09
9.93004448e+00 3.85600870e-04 3.85600870e-09
9.89525045e+00 3.84947563e-04 3.84947563e-09
9.86057833e+00 3.84418375e-04 3.84418375e-09
9.82602770e+00 3.84974278e-04 3.84974278e-09
9.79159814e+00 3.84527976e-04 3.84527976e-09
9.75728921e+00 3.84941146e-04 3.84941146e-09
9.72310050e+00 3.85586320e-04 3.85586320e-09
9.68903159e+00 3.85206205e-04 3.85206205e-09
9.65508204e+00 3.85361165e-04 3.85361165e-09
9.62125146e+00 3.85308063e-04 3.85308063e-09
9.58753941e+00 3.85339863e-04 3.85339863e-09
9.55394549e+00 3.85740237e-04 3.85740237e-09
9.52046928e+00 3.85667809e-04 3.85667809e-09
9.48711036e+00 3.86121975e-04 3.86121975e-09
9.45386834e+00 3.86106813e-04 3.86106813e-09
9.42074279e+00 3.86066378e-04 3.86066378e-09
9.38773331e+00 3.86458603e-04 3.86458603e-09
9.35483949e+00 3.86479420e-04 3.86479420e-09
9.32206093e+00 3.86468105e-04 3.86468105e-09
9.28939722e+00 3.86740435e-04 3.86740435e-09
9.25684796e+00 3.86827245e-04 3.86827245e-09
9.22441275e+00 3.87520966e-04 3.87520966e-09
9.19209120e+00 3.86668132e-04 3.86668132e-09
9.15988289e+00 3.86879713e-04 3.86879713e-09
9.12778744e+00 3.86607136e-04 3.86607136e-09
9.09580445e+00 3.86175573e-04 3.86175573e-09
9.06393353e+00 3.84412835e-04 3.84412835e-09
9.03217428e+00 3.84649896e-04 3.84649896e-09
9.00052631e+00 3.80554012e-04 3.80554012e-09
8.96898923e+00 3.76995489e-04 3.76995489e-09
8.93756265e+00 3.73663117e-04 3.73663117e-09
8.90624619e+00 3.69395472e-04 3.69395472e-09
8.87503947e+00 3.61439337e-04 3.61439337e-09
8.84394208e+00 3.60620981e-04 3.60620981e-09
8.81295366e+00 3.64549119e-04 3.64549119e-09
8.78207382e+00 3.62755880e-04 3.62755880e-09
8.75130218e+00 3.65476278e-04 3.65476278e-09
8.72063837e+00 3.62947068e-04 3.62947068e-09
8.69008199e+00 3.60619454e-04 3.60619454e-09
8.65963268e+00 3.60704288e-04 3.60704288e-09
8.62929007e+00 3.62120107e-04 3.62120107e-09
8.59905377e+00 3.60366007e-04 3.60366007e-09
8.56892342e+00 3.61432849e-04 3.61432849e-09
8.53889864e+00 3.61786824e-04 3.61786824e-09
8.50897907e+00 3.62891283e-04 3.62891283e-09
8.47916433e+00 3.64484148e-04 3.64484148e-09
8.44945406e+00 3.64289484e-04 3.64289484e-09
8.41984789e+00 3.62345533e-04 3.62345533e-09
8.39034546e+00 3.65906660e-04 3.65906660e-09
8.36094640e+00 3.63827011e-04 3.63827011e-09
8.33165036e+00 3.66860494e-04 3.66860494e-09
8.30245696e+00 3.62750688e-04 3.62750688e-09
8.27336586e+00 3.64188726e-04 3.64188726e-09
8.24437669e+00 3.63162667e-04 3.63162667e-09
8.21548910e+00 3.65287919e-04 3.65287919e-09
8.18670272e+00 3.64640236e-04 3.64640236e-09
8.15801721e+00 3.63833272e-04 3.63833272e-09
8.12943222e+00 3.63315448e-04 3.63315448e-09
8.10094738e+00 3.64525635e-04 3.64525635e-09
8.07256235e+00 3.65138198e-04 3.65138198e-09
8.04427678e+00 3.64376172e-04 3.64376172e-09
8.01609032e+00 3.61341230e-04 3.61341230e-09
7.98800262e+00 3.65448441e-04 3.65448441e-09
7.96001334e+00 3.63595382e-04 3.63595382e-09
7.93212213e+00 3.61877185e-04 3.61877185e-09
7.90432865e+00 3.65192661e-04 3.65192661e-09
7.87663255e+00 3.65230216e-04 3.65230216e-09
7.84903350e+00 3.62184746e-04 3.62184746e-09
7.82153116e+00 3.62239645e-04 3.62239645e-09
7.79412518e+00 3.63817721e-04 3.63817721e-09
7.76681523e+00 3.63921470e-04 3.63921470e-09
