# wavelength[µm] (rp/rs)^2 error
1.00000000e+01 1.99386727e-02 1.99386727e-07
9.96496085e+00 1.99177608e-02 1.99177608e-07
9.93004448e+00 1.99290834e-02 1.99290834e-07
9.89525045e+00 1.99704651e-02 1.99704651e-07
9.86057833e+00 1.99159206e-02 1.99159206e-07
9.82602770e+00 1.99382161e-02 1.99382161e-07
9.79159814e+00 1.99263446e-02 1.99263446e-07
9.75728921e+00 1.99165379e-02 1.99165379e-07
9.72310050e+00 1.99339727e-02 1.99339727e-07
9.68903159e+00 1.99547330e-02 1.99547330e-07
9.65508204e+00 1.99629035e-02 1.99629035e-07
9.62125146e+00 1.99700053e-02 1.99700053e-07
9.58753941e+00 1.99409212e-02 1.99409212e-07
9.55394549e+00 1.99222545e-02 1.99222545e-07
9.52046928e+00 1.99446385e-02 1.99446385e-07
9.48711036e+00 1.99412408e-02 1.99412408e-07
9.45386834e+00 1.99692483e-02 1.99692483e-07
9.42074279e+00 1.99593043e-02 1.99593043e-07
9.38773331e+00 1.99712647e-02 1.99712647e-07
9.35483949e+00 1.99340443e-02 1.99340443e-07
9.32206093e+00 1.99640509e-02 1.99640509e-07
9.28939722e+00 1.99481011e-02 1.99481011e-07
9.25684796e+00 1.99568863e-02 1.99568863e-07
9.22441275e+00 1.99465505e-02 1.99465505e-07
9.19209120e+00 1.99687690e-02 1.99687690e-07
9.15988289e+00 1.99801375e-02 1.99801375e-07
9.12778744e+00 1.99496514e-02 1.99496514e-07
9.09580445e+00 1.99501752e-02 1.99501752e-07
9.06393353e+00 1.99626229e-02 1.99626229e-07
9.03217428e+00 1.99627833e-02 1.99627833e-07
9.00052631e+00 1.99632717e-02 1.99632717e-07
8.96898923e+00 1.99896577e-02 1.99896577e-07
8.93756265e+00 1.99800870e-02 1.99800870e-07
8.90624619e+00 1.99871849e-02 1.99871849e-07
8.87503947e+00 1.99412578e-02 1.99412578e-07
8.84394208e+00 1.99476237e-02 1.99476237e-07
8.81295366e+00 1.99943043e-02 1.99943043e-07
8.78207382e+00 1.99978139e-02 1.99978139e-07
8.75130218e+00 1.99958397e-02 1.99958397e-07
8.72063837e+00 1.99808166e-02 1.99808166e-07
8.69008199e+00 1.99603469e-02 1.99603469e-07
8.65963268e+00 1.99745221e-02 1.99745221e-07
8.62929007e+00 1.99670533e-02 1.99670533e-07
8.59905377e+00 1.99386371e-02 1.99386371e-07
8.56892342e+00 1.99937029e-02 1.99937029e-07
8.53889864e+00 1.99821211e-02 1.99821211e-07
8.50897907e+00 1.99893561e-02 1.99893561e-07
8.47916433e+00 1.99939917e-02 1.99939917e-07
8.44945406e+00 1.99941534e-02 1.99941534e-07
8.41984789e+00 1.99735446e-02 1.99735446e-07
8.39034546e+00 2.00259988e-02 2.00259988e-07
8.36094640e+00 1.99989813e-02 1.99989813e-07
8.33165036e+00 2.00247438e-02 2.00247438e-07
8.30245696e+00 1.99829091e-02 1.99829091e-07
8.27336586e+00 2.00027477e-02 2.00027477e-07
8.24437669e+00 1.99896257e-02 1.99896257e-07
8.21548910e+00 2.00152910e-02 2.00152910e-07
8.18670272e+00 1.99906393e-02 1.99906393e-07
8.15801721e+00 1.99817932e-02 1.99817932e-07
8.12943222e+00 1.99920653e-02 1.99920653e-07
8.10094738e+00 2.00024546e-02 2.00024546e-07
8.07256235e+00 2.00068023e-02 2.00068023e-07
8.04427678e+00 2.00071615e-02 2.00071615e-07
8.01609032e+00 1.99808120e-02 1.99808120e-07
7.98800262e+00 2.00135964e-02 2.00135964e-07
7.96001334e+00 1.99888855e-02 1.99888855e-07
7.93212213e+00 1.99921090e-02 1.99921090e-07
7.90432865e+00 2.00016672e-02 2.00016672e-07
7.87663255e+00 1.99932594e-02 1.99932594e-07
7.84903350e+00 1.99762221e-02 1.99762221e-07
7.82153116e+00 1.99996052e-02 1.99996052e-07
7.79412518e+00 1.99902885e-02 1.99902885e-07
7.76681523e+00 1.99931751e-02 1.99931751e-07
7.73960097e+00 1.99845241e-02 1.99845241e-07
7.71248206e+00 1.99860604e-02 1.99860604e-07
7.68545818e+00 2.00130299e-02 2.00130299e-07
7.65852899e+00 1.99947798e-02 1.99947798e-07
7.63169416e+00 2.00030454e-02 2.00030454e-07
7.60495335e+00 2.00136857e-02 2.00136857e-07
7.57830624e+00 1.99803882e-02 1.99803882e-07
7.55175250e+00 1.99283915e-02 1.99283915e-07
7.52529180e+00 2.00080215e-02 2.00080215e-07
7.49892382e+00 1.99924895e-02 1.99924895e-07
7.47264823e+00 1.99521002e-02 1.99521002e-07
7.44646471e+00 1.99789613e-02 1.99789613e-07
7.42037293e+00 1.99913577e-02 1.99913577e-07
7.39437257e+00 1.99378599e-02 1.99378599e-07
7.36846332e+00 1.99918831e-02 1.99918831e-07
7.34264485e+00 1.99700912e-02 1.99700912e-07
7.31691685e+00 1.99986617e-02 1.99986617e-07
7.29127900e+00 1.99817935e-02 1.99817935e-07
7.26573098e+00 1.99982829e-02 1.99982829e-07
7.24027247e+00 1.99975035e-02 1.99975035e-07
7.21490318e+00 1.99973714e-02 1.99973714e-07
7.18962277e+00 1.99952911e-02 1.99952911e-07
7.16443094e+00 2.00017016e-02 2.00017016e-07
7.13932739e+00 1.99968591e-02 1.99968591e-07
7.11431179e+00 2.00215691e-02 2.00215691e-07
7.08938385e+00 2.00316637e-02 2.00316637e-07
7.06454325e+00 1.99929806e-02 1.99929806e-07
7.03978969e+00 1.99928442e-02 1.99928442e-07
7.01512287e+00 2.00424248e-02 2.00424248e-07
6.99054248e+00 2.00063940e-02 2.00063940e-07
6.96604821e+00 2.00291318e-02 2.00291318e-07
6.94163977e+00 2.00303392e-02 2.00303392e-07
6.91731685e+00 2.00333877e-02 2.00333877e-07
6.89307916e+00 2.00273381e-02 2.00273381e-07
6.86892640e+00 2.00334767e-02 2.00334767e-07
6.84485827e+00 2.00313847e-02 2.00313847e-07
6.82087447e+00 2.00404365e-02 2.00404365e-07
6.79697470e+00 2.00232717e-02 2.00232717e-07
