# wavelength[µm] (rp/rs)^2
1.258925411794167282e+01 1.659769329328229445e-02
1.254580400345803248e+01 1.661085361571866190e-02
1.250250385119064056e+01 1.660464492447102230e-02
1.245935314356514034e+01 1.662456254291370603e-02
1.241635136479347246e+01 1.672311296980324297e-02
1.237349800086776241e+01 1.654139344031543488e-02
1.233079253955416199e+01 1.663898189107092598e-02
1.228823447038672256e+01 1.659721064563799212e-02
1.224582328466133241e+01 1.662571217513232613e-02
1.220355847542957051e+01 1.657507853360207922e-02
1.216143953749268647e+01 1.664980765834166154e-02
1.211946596739555915e+01 1.658207699769175328e-02
1.207763726342066590e+01 1.659310218107238472e-02
1.203595292558212293e+01 1.656625961903893801e-02
1.199441245561965097e+01 1.655585638576308541e-02
1.195301535699265827e+01 1.655849587345809004e-02
1.191176113487429689e+01 1.658735464283593586e-02
1.187064929614553144e+01 1.650770978029716257e-02
1.182967934938930377e+01 1.656791769729078906e-02
1.178885080488457326e+01 1.658629625857172343e-02
1.174816317460051884e+01 1.661786273978518164e-02
1.170761597219068051e+01 1.653734998234153430e-02
1.166720871298719509e+01 1.653073125275025812e-02
1.162694091399492891e+01 1.651810149894880619e-02
1.158681209388574906e+01 1.655117018790389430e-02
1.154682177299276624e+01 1.662943178313887674e-02
1.150696947330458286e+01 1.651964185132990051e-02
1.146725471845963007e+01 1.652960808623876732e-02
1.142767703374039989e+01 1.647362458625401330e-02
1.138823594606782130e+01 1.654330459220871435e-02
1.134893098399558831e+01 1.651442987237822929e-02
1.130976167770452356e+01 1.654976834739076141e-02
1.127072755899699530e+01 1.651836348099521706e-02
1.123182816129126138e+01 1.652626510022931622e-02
1.119306301961593242e+01 1.657115904241945187e-02
1.115443167060441176e+01 1.652149909869326389e-02
1.111593365248933019e+01 1.653724875800492017e-02
1.107756850509708713e+01 1.649851422752471319e-02
1.103933576984227116e+01 1.655096324591961640e-02
1.100123498972222968e+01 1.654314021105749571e-02
1.096326570931159239e+01 1.647819865177013038e-02
1.092542747475681963e+01 1.649103067477544760e-02
1.088771983377081476e+01 1.653917448406330704e-02
1.085014233562746178e+01 1.643788746942012255e-02
1.081269453115626789e+01 1.638860042252374138e-02
1.077537597273700243e+01 1.648482198139418833e-02
1.073818621429431452e+01 1.649389408682071928e-02
1.070112481129246262e+01 1.645480820127374205e-02
1.066419132072992326e+01 1.644764206060482514e-02
1.062738530113414548e+01 1.651196647083550892e-02
1.059070631255626083e+01 1.648181492707273890e-02
1.055415391656581647e+01 1.649036953614222908e-02
1.051772767624557225e+01 1.642752984801461313e-02
1.048142715618621779e+01 1.646337100344284418e-02
1.044525192248121215e+01 1.648145908406255244e-02
1.040920154272158094e+01 1.649860763403845562e-02
1.037327558599074173e+01 1.645515093575532911e-02
1.033747362285939708e+01 1.644040856380875673e-02
