# %ECSV 1.0
# ---
# datatype:
# - {name: Teff, datatype: float64}
# - {name: logg, datatype: float64}
# - {name: FeH, datatype: float64}
# - {name: profile, datatype: string}
# - {name: filter, datatype: string}
# - {name: wave_min, datatype: float16}
# - {name: wave_eff, datatype: float16}
# - {name: wave_max, datatype: float16}
# - {name: c1, datatype: float64}
# - {name: e1, datatype: float64}
# - {name: c2, datatype: float64}
# - {name: e2, datatype: float64}
# schema: astropy-2.0
Teff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.422 0.4294 0.437 0.69 0.001 0.11 0.001
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.438 0.4456 0.453 0.68 0.002 0.134 0.003
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.454 0.4614 0.469 0.632 0.004 0.171 0.005
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.47 0.4775 0.485 0.587 0.004 0.201 0.006
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.486 0.4934 0.501 0.552 0.005 0.21 0.007
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.502 0.5093 0.517 0.558 0.005 0.194 0.006
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.518 0.5254 0.533 0.533 0.005 0.192 0.007
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.534 0.5415 0.549 0.503 0.006 0.217 0.008
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.55 0.5576 0.565 0.483 0.007 0.225 0.009
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.566 0.5737 0.581 0.464 0.007 0.232 0.01
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.582 0.5894 0.597 0.446 0.008 0.24 0.01
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.598 0.6055 0.613 0.43 0.008 0.243 0.01
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.614 0.6216 0.629 0.417 0.008 0.24 0.01
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.63 0.6377 0.645 0.403 0.008 0.245 0.011
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.646 0.6533 0.661 0.359 0.009 0.267 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.662 0.6694 0.677 0.378 0.008 0.248 0.011
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.678 0.6855 0.693 0.372 0.008 0.244 0.011
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.694 0.7017 0.709 0.364 0.008 0.241 0.011
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.71 0.7173 0.725 0.353 0.008 0.241 0.011
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.726 0.7334 0.741 0.343 0.008 0.242 0.011
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.742 0.7495 0.757 0.333 0.009 0.241 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.758 0.7656 0.773 0.325 0.009 0.241 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.774 0.7817 0.789 0.317 0.009 0.24 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.79 0.7974 0.805 0.311 0.009 0.241 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.806 0.8135 0.821 0.306 0.009 0.238 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.822 0.8296 0.837 0.298 0.009 0.239 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.838 0.8457 0.853 0.287 0.009 0.233 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.854 0.8613 0.869 0.275 0.009 0.233 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.87 0.8774 0.885 0.275 0.009 0.238 0.012
6000.0 4.5 0.5 quadratic Kepler/Kepler.K 0.886 0.8936 0.901 0.26 0.009 0.239 0.013
