# wavelength[µm] (rp/rs)^2 error
1.00000000e+01 3.54554093e-04 3.54554093e-09
9.96496085e+00 3.56923978e-04 3.56923978e-09
9.93004448e+00 3.56537751e-04 3.56537751e-09
9.89525045e+00 3.57558471e-04 3.57558471e-09
9.86057833e+00 3.59314269e-04 3.59314269e-09
9.82602770e+00 3.59083274e-04 3.59083274e-09
9.79159814e+00 3.60041894e-04 3.60041894e-09
9.75728921e+00 3.61015580e-04 3.61015580e-09
9.72310050e+00 3.61993999e-04 3.61993999e-09
9.68903159e+00 3.62107689e-04 3.62107689e-09
9.65508204e+00 3.63232525e-04 3.63232525e-09
9.62125146e+00 3.64160219e-04 3.64160219e-09
9.58753941e+00 3.64647498e-04 3.64647498e-09
9.55394549e+00 3.64895702e-04 3.64895702e-09
9.52046928e+00 3.66965906e-04 3.66965906e-09
9.48711036e+00 3.67903135e-04 3.67903135e-09
9.45386834e+00 3.68939690e-04 3.68939690e-09
9.42074279e+00 3.69176540e-04 3.69176540e-09
9.38773331e+00 3.69441148e-04 3.69441148e-09
9.35483949e+00 3.69950499e-04 3.69950499e-09
9.32206093e+00 3.71065219e-04 3.71065219e-09
9.28939722e+00 3.72222752e-04 3.72222752e-09
9.25684796e+00 3.71934315e-04 3.71934315e-09
9.22441275e+00 3.73033505e-04 3.73033505e-09
9.19209120e+00 3.73720685e-04 3.73720685e-09
9.15988289e+00 3.74864764e-04 3.74864764e-09
9.12778744e+00 3.75665178e-04 3.75665178e-09
9.09580445e+00 3.75654247e-04 3.75654247e-09
9.06393353e+00 3.76677431e-04 3.76677431e-09
9.03217428e+00 3.77679080e-04 3.77679080e-09
9.00052631e+00 3.78274477e-04 3.78274477e-09
8.96898923e+00 3.79142746e-04 3.79142746e-09
8.93756265e+00 3.79113419e-04 3.79113419e-09
8.90624619e+00 3.79744905e-04 3.79744905e-09
8.87503947e+00 3.80596141e-04 3.80596141e-09
8.84394208e+00 3.81261107e-04 3.81261107e-09
8.81295366e+00 3.81716570e-04 3.81716570e-09
8.78207382e+00 3.81907527e-04 3.81907527e-09
8.75130218e+00 3.82818738e-04 3.82818738e-09
8.72063837e+00 3.82697906e-04 3.82697906e-09
8.69008199e+00 3.83594494e-04 3.83594494e-09
8.65963268e+00 3.83471596e-04 3.83471596e-09
8.62929007e+00 3.84127412e-04 3.84127412e-09
8.59905377e+00 3.84161786e-04 3.84161786e-09
8.56892342e+00 3.84657020e-04 3.84657020e-09
8.53889864e+00 3.85184570e-04 3.85184570e-09
8.50897907e+00 3.84846241e-04 3.84846241e-09
8.47916433e+00 3.85849937e-04 3.85849937e-09
8.44945406e+00 3.85436865e-04 3.85436865e-09
8.41984789e+00 3.86212568e-04 3.86212568e-09
8.39034546e+00 3.85882412e-04 3.85882412e-09
8.36094640e+00 3.85955292e-04 3.85955292e-09
8.33165036e+00 3.86915635e-04 3.86915635e-09
8.30245696e+00 3.86988026e-04 3.86988026e-09
8.27336586e+00 3.87217992e-04 3.87217992e-09
8.24437669e+00 3.87176986e-04 3.87176986e-09
8.21548910e+00 3.87157430e-04 3.87157430e-09
8.18670272e+00 3.88101859e-04 3.88101859e-09
8.15801721e+00 3.87873457e-04 3.87873457e-09
8.12943222e+00 3.88100690e-04 3.88100690e-09
8.10094738e+00 3.88246354e-04 3.88246354e-09
8.07256235e+00 3.88680061e-04 3.88680061e-09
8.04427678e+00 3.89459618e-04 3.89459618e-09
8.01609032e+00 3.90866715e-04 3.90866715e-09
7.98800262e+00 3.91186340e-04 3.91186340e-09
7.96001334e+00 3.91807331e-04 3.91807331e-09
7.93212213e+00 3.92414096e-04 3.92414096e-09
7.90432865e+00 3.93400946e-04 3.93400946e-09
7.87663255e+00 3.94363395e-04 3.94363395e-09
7.84903350e+00 3.95022245e-04 3.95022245e-09
7.82153116e+00 3.95550677e-04 3.95550677e-09
7.79412518e+00 3.95357443e-04 3.95357443e-09
7.76681523e+00 3.94470019e-04 3.94470019e-09
7.73960097e+00 3.93805631e-04 3.93805631e-09
7.71248206e+00 3.91702009e-04 3.91702009e-09
7.68545818e+00 3.89962217e-04 3.89962217e-09
7.65852899e+00 3.88462393e-04 3.88462393e-09
7.63169416e+00 3.87404889e-04 3.87404889e-09
7.60495335e+00 3.88196153e-04 3.88196153e-09
7.57830624e+00 3.89188549e-04 3.89188549e-09
7.55175250e+00 3.89498690e-04 3.89498690e-09
7.52529180e+00 3.90609958e-04 3.90609958e-09
7.49892382e+00 3.91180735e-04 3.91180735e-09
7.47264823e+00 3.92073269e-04 3.92073269e-09
7.44646471e+00 3.92093076e-04 3.92093076e-09
7.42037293e+00 3.92134156e-04 3.92134156e-09
7.39437257e+00 3.92779008e-04 3.92779008e-09
7.36846332e+00 3.93237465e-04 3.93237465e-09
7.34264485e+00 3.92958470e-04 3.92958470e-09
7.31691685e+00 3.92832212e-04 3.92832212e-09
7.29127900e+00 3.92911655e-04 3.92911655e-09
7.26573098e+00 3.92640713e-04 3.92640713e-09
7.24027247e+00 3.92667460e-04 3.92667460e-09
7.21490318e+00 3.91927023e-04 3.91927023e-09
7.18962277e+00 3.91632657e-04 3.91632657e-09
7.16443094e+00 3.91107972e-04 3.91107972e-09
7.13932739e+00 3.90428440e-04 3.90428440e-09
7.11431179e+00 3.89416928e-04 3.89416928e-09
7.08938385e+00 3.87909000e-04 3.87909000e-09
7.06454325e+00 3.87335920e-04 3.87335920e-09
7.03978969e+00 3.85811012e-04 3.85811012e-09
7.01512287e+00 3.85028944e-04 3.85028944e-09
6.99054248e+00 3.83160992e-04 3.83160992e-09
6.96604821e+00 3.81948728e-04 3.81948728e-09
6.94163977e+00 3.80678418e-04 3.80678418e-09
6.91731685e+00 3.79795500e-04 3.79795500e-09
6.89307916e+00 3.78399476e-04 3.78399476e-09
6.86892640e+00 3.77798358e-04 3.77798358e-09
6.84485827e+00 3.76661999e-04 3.76661999e-09
6.82087447e+00 3.75909815e-04 3.75909815e-09
6.79697470e+00 3.74573581e-04 3.74573581e-09
6.77315868e+00 3.73665137e-04 3.73665137e-09
6.74942611e+00 3.72394392e-04 3.72394392e-09
6.72577670e+00 3.72062793e-04 3.72062793e-09
6.70221015e+00 3.71144683e-04 3.71144683e-09
6.67872617e+00 3.70553457e-04 3.70553457e-09
6.65532449e+00 3.70358199e-04 3.70358199e-09
6.63200480e+00 3.70279286e-04 3.70279286e-09
6.60876682e+00 3.70246352e-04 3.70246352e-09
6.58561026e+00 3.70420479e-04 3.70420479e-09
6.56253484e+00 3.70900098e-04 3.70900098e-09
6.53954028e+00 3.71705305e-04 3.71705305e-09
6.51662629e+00 3.72857158e-04 3.72857158e-09
6.49379258e+00 3.73903962e-04 3.73903962e-09
6.47103889e+00 3.74902307e-04 3.74902307e-09
6.44836492e+00 3.74919307e-04 3.74919307e-09
6.42577039e+00 3.74996685e-04 3.74996685e-09
6.40325504e+00 3.74560051e-04 3.74560051e-09
6.38081858e+00 3.74160908e-04 3.74160908e-09
6.35846074e+00 3.73359555e-04 3.73359555e-09
6.33618123e+00 3.72763475e-04 3.72763475e-09
6.31397979e+00 3.72105578e-04 3.72105578e-09
6.29185614e+00 3.72475861e-04 3.72475861e-09
6.26981002e+00 3.72007868e-04 3.72007868e-09
6.24784113e+00 3.71921813e-04 3.71921813e-09
6.22594923e+00 3.71618682e-04 3.71618682e-09
6.20413404e+00 3.72379418e-04 3.72379418e-09
6.18239528e+00 3.72071748e-04 3.72071748e-09
6.16073269e+00 3.72261005e-04 3.72261005e-09
6.13914601e+00 3.71766259e-04 3.71766259e-09
6.11763496e+00 3.72157681e-04 3.72157681e-09
6.09619929e+00 3.71839105e-04 3.71839105e-09
6.07483873e+00 3.71779017e-04 3.71779017e-09
6.05355301e+00 3.71971957e-04 3.71971957e-09
6.03234188e+00 3.71340813e-04 3.71340813e-09
6.01120506e+00 3.70698688e-04 3.70698688e-09
5.99014231e+00 3.71047386e-04 3.71047386e-09
5.96915336e+00 3.70555460e-04 3.70555460e-09
5.94823796e+00 3.70296696e-04 3.70296696e-09
5.92739584e+00 3.69619803e-04 3.69619803e-09
5.90662675e+00 3.69824270e-04 3.69824270e-09
5.88593043e+00 3.69489539e-04 3.69489539e-09
5.86530663e+00 3.71235794e-04 3.71235794e-09
5.84475510e+00 3.72183647e-04 3.72183647e-09
5.82427557e+00 3.72324664e-04 3.72324664e-09
5.80386781e+00 3.69312324e-04 3.69312324e-09
5.78353155e+00 3.70162310e-04 3.70162310e-09
5.76326654e+00 3.67920259e-04 3.67920259e-09
5.74307255e+00 3.66558009e-04 3.66558009e-09
5.72294931e+00 3.65602535e-04 3.65602535e-09
5.70289658e+00 3.66831290e-04 3.66831290e-09
5.68291412e+00 3.65760215e-04 3.65760215e-09
5.66300167e+00 3.66190099e-04 3.66190099e-09
5.64315900e+00 3.65639315e-04 3.65639315e-09
5.62338585e+00 3.67911408e-04 3.67911408e-09
5.60368198e+00 3.67257771e-04 3.67257771e-09
5.58404716e+00 3.66232246e-04 3.66232246e-09
5.56448113e+00 3.67921379e-04 3.67921379e-09
5.54498366e+00 3.68472871e-04 3.68472871e-09
5.52555451e+00 3.66667203e-04 3.66667203e-09
5.50619344e+00 3.69393224e-04 3.69393224e-09
5.48690021e+00 3.66994368e-04 3.66994368e-09
5.46767458e+00 3.67424127e-04 3.67424127e-09
5.44851631e+00 3.67204304e-04 3.67204304e-09
5.42942517e+00 3.66768642e-04 3.66768642e-09
5.41040093e+00 3.66931491e-04 3.66931491e-09
5.39144335e+00 3.67550451e-04 3.67550451e-09
5.37255219e+00 3.66528930e-04 3.66528930e-09
5.35372722e+00 3.65016704e-04 3.65016704e-09
5.33496822e+00 3.65945931e-04 3.65945931e-09
5.31627494e+00 3.68267991e-04 3.68267991e-09
5.29764717e+00 3.64042602e-04 3.64042602e-09
5.27908466e+00 3.63793356e-04 3.63793356e-09
5.26058720e+00 3.65077733e-04 3.65077733e-09
5.24215455e+00 3.64731585e-04 3.64731585e-09
5.22378649e+00 3.63709314e-04 3.63709314e-09
5.20548278e+00 3.65366730e-04 3.65366730e-09
5.18724321e+00 3.62859055e-04 3.62859055e-09
5.16906756e+00 3.64176523e-04 3.64176523e-09
5.15095558e+00 3.64586742e-04 3.64586742e-09
5.13290707e+00 3.63211948e-04 3.63211948e-09
5.11492180e+00 3.65125060e-04 3.65125060e-09
5.09699955e+00 3.64896130e-04 3.64896130e-09
5.07914010e+00 3.63898601e-04 3.63898601e-09
5.06134323e+00 3.65852011e-04 3.65852011e-09
5.04360871e+00 3.61747809e-04 3.61747809e-09
5.02593633e+00 3.64718294e-04 3.64718294e-09
5.00832588e+00 3.66102096e-04 3.66102096e-09
4.99077713e+00 3.65214618e-04 3.65214618e-09
4.97328988e+00 3.62938411e-04 3.62938411e-09
4.95586389e+00 3.65228176e-04 3.65228176e-09
4.93849897e+00 3.65167122e-04 3.65167122e-09
4.92119489e+00 3.64657375e-04 3.64657375e-09
4.90395144e+00 3.63344036e-04 3.63344036e-09
4.88676841e+00 3.61163314e-04 3.61163314e-09
4.86964559e+00 3.64366601e-04 3.64366601e-09
4.85258277e+00 3.61163195e-04 3.61163195e-09
4.83557973e+00 3.64013534e-04 3.64013534e-09
4.81863627e+00 3.66289358e-04 3.66289358e-09
4.80175218e+00 3.65062448e-04 3.65062448e-09
4.78492725e+00 3.63200473e-04 3.63200473e-09
4.76816127e+00 3.61445552e-04 3.61445552e-09
4.75145404e+00 3.65427058e-04 3.65427058e-09
4.73480535e+00 3.60383730e-04 3.60383730e-09
4.71821499e+00 3.62156825e-04 3.62156825e-09
4.70168277e+00 3.63776931e-04 3.63776931e-09
4.68520847e+00 3.62942810e-04 3.62942810e-09
4.66879190e+00 3.62240724e-04 3.62240724e-09
4.65243285e+00 3.64611285e-04 3.64611285e-09
4.63613112e+00 3.64561678e-04 3.64561678e-09
4.61988651e+00 3.67184158e-04 3.67184158e-09
4.60369882e+00 3.66333245e-04 3.66333245e-09
4.58756786e+00 3.65884425e-04 3.65884425e-09
4.57149341e+00 3.66645918e-04 3.66645918e-09
4.55547528e+00 3.64969901e-04 3.64969901e-09
4.53951329e+00 3.68252798e-04 3.68252798e-09
4.52360722e+00 3.67201128e-04 3.67201128e-09
4.50775688e+00 3.69418250e-04 3.69418250e-09
4.49196209e+00 3.66688232e-04 3.66688232e-09
4.47622264e+00 3.71528216e-04 3.71528216e-09
4.46053833e+00 3.66057715e-04 3.66057715e-09
4.44490899e+00 3.69303210e-04 3.69303210e-09
4.42933440e+00 3.70380874e-04 3.70380874e-09
4.41381439e+00 3.69334244e-04 3.69334244e-09
4.39834876e+00 3.67425747e-04 3.67425747e-09
4.38293732e+00 3.65853501e-04 3.65853501e-09
4.36757988e+00 3.68484458e-04 3.68484458e-09
4.35227625e+00 3.68333241e-04 3.68333241e-09
4.33702625e+00 3.65802002e-04 3.65802002e-09
4.32182968e+00 3.67121515e-04 3.67121515e-09
4.30668636e+00 3.67780663e-04 3.67780663e-09
4.29159609e+00 3.65671377e-04 3.65671377e-09
4.27655871e+00 3.62559922e-04 3.62559922e-09
4.26157401e+00 3.62846744e-04 3.62846744e-09
4.24664182e+00 3.61294871e-04 3.61294871e-09
4.23176194e+00 3.59180648e-04 3.59180648e-09
4.21693421e+00 3.59234754e-04 3.59234754e-09
4.20215843e+00 3.57123110e-04 3.57123110e-09
4.18743443e+00 3.57382456e-04 3.57382456e-09
4.17276201e+00 3.56993500e-04 3.56993500e-09
4.15814101e+00 3.56832124e-04 3.56832124e-09
4.14357124e+00 3.57872151e-04 3.57872151e-09
4.12905252e+00 3.58592921e-04 3.58592921e-09
4.11458467e+00 3.59522524e-04 3.59522524e-09
4.10016751e+00 3.60243234e-04 3.60243234e-09
4.08580088e+00 3.60964252e-04 3.60964252e-09
4.07148458e+00 3.62067343e-04 3.62067343e-09
4.05721844e+00 3.62613283e-04 3.62613283e-09
4.04300229e+00 3.63424517e-04 3.63424517e-09
4.02883596e+00 3.64156745e-04 3.64156745e-09
4.01471926e+00 3.64845150e-04 3.64845150e-09
4.00065202e+00 3.65564168e-04 3.65564168e-09
3.98663408e+00 3.66041864e-04 3.66041864e-09
3.97266525e+00 3.66688633e-04 3.66688633e-09
3.95874537e+00 3.67194847e-04 3.67194847e-09
3.94487427e+00 3.67985650e-04 3.67985650e-09
3.93105176e+00 3.68427762e-04 3.68427762e-09
3.91727769e+00 3.69187197e-04 3.69187197e-09
3.90355188e+00 3.70062652e-04 3.70062652e-09
3.88987417e+00 3.70810214e-04 3.70810214e-09
3.87624438e+00 3.71735874e-04 3.71735874e-09
3.86266235e+00 3.72650498e-04 3.72650498e-09
3.84912791e+00 3.73234803e-04 3.73234803e-09
3.83564090e+00 3.74266758e-04 3.74266758e-09
3.82220114e+00 3.75111106e-04 3.75111106e-09
3.80880847e+00 3.76017247e-04 3.76017247e-09
3.79546273e+00 3.76800148e-04 3.76800148e-09
3.78216375e+00 3.77592118e-04 3.77592118e-09
3.76891137e+00 3.78696180e-04 3.78696180e-09
3.75570543e+00 3.79684304e-04 3.79684304e-09
3.74254575e+00 3.80762423e-04 3.80762423e-09
3.72943219e+00 3.81452595e-04 3.81452595e-09
3.71636458e+00 3.82459695e-04 3.82459695e-09
3.70334275e+00 3.83492434e-04 3.83492434e-09
3.69036656e+00 3.83981151e-04 3.83981151e-09
3.67743583e+00 3.84749319e-04 3.84749319e-09
3.66455040e+00 3.85465950e-04 3.85465950e-09
3.65171013e+00 3.86516623e-04 3.86516623e-09
3.63891485e+00 3.86834091e-04 3.86834091e-09
3.62616440e+00 3.87318383e-04 3.87318383e-09
3.61345863e+00 3.87700875e-04 3.87700875e-09
3.60079738e+00 3.88696652e-04 3.88696652e-09
3.58818049e+00 3.89393546e-04 3.89393546e-09
3.57560781e+00 3.89889175e-04 3.89889175e-09
3.56307919e+00 3.89920867e-04 3.89920867e-09
3.55059446e+00 3.90205812e-04 3.90205812e-09
3.53815348e+00 3.89988422e-04 3.89988422e-09
3.52575609e+00 3.89911264e-04 3.89911264e-09
3.51340214e+00 3.89935051e-04 3.89935051e-09
3.50109148e+00 3.89429253e-04 3.89429253e-09
3.48882395e+00 3.90124742e-04 3.90124742e-09
3.47659941e+00 3.90316485e-04 3.90316485e-09
3.46441770e+00 3.90238572e-04 3.90238572e-09
3.45227868e+00 3.90914815e-04 3.90914815e-09
3.44018219e+00 3.91376683e-04 3.91376683e-09
3.42812808e+00 3.91274671e-04 3.91274671e-09
3.41611621e+00 3.91295002e-04 3.91295002e-09
3.40414643e+00 3.91073021e-04 3.91073021e-09
3.39221859e+00 3.91862069e-04 3.91862069e-09
3.38033255e+00 3.93120921e-04 3.93120921e-09
3.36848815e+00 3.95176079e-04 3.95176079e-09
3.35668526e+00 3.97110159e-04 3.97110159e-09
3.34492372e+00 3.97957144e-04 3.97957144e-09
3.33320339e+00 3.97621796e-04 3.97621796e-09
3.32152413e+00 3.95959691e-04 3.95959691e-09
3.30988579e+00 3.92991888e-04 3.92991888e-09
3.29828823e+00 3.91356410e-04 3.91356410e-09
3.28673131e+00 3.90815421e-04 3.90815421e-09
3.27521488e+00 3.90663689e-04 3.90663689e-09
3.26373881e+00 3.91048359e-04 3.91048359e-09
3.25230295e+00 3.91006666e-04 3.91006666e-09
3.24090715e+00 3.91405904e-04 3.91405904e-09
