# wavelength[µm] (rp/rs)^2 error
1.00000000e+01 3.88779163e-04 3.88779163e-09
9.96496085e+00 3.87694424e-04 3.87694424e-09
9.93004448e+00 3.88195478e-04 3.88195478e-09
9.89525045e+00 3.90961837e-04 3.90961837e-09
9.86057833e+00 3.87556696e-04 3.87556696e-09
9.82602770e+00 3.88593850e-04 3.88593850e-09
9.79159814e+00 3.88063778e-04 3.88063778e-09
9.75728921e+00 3.87428674e-04 3.87428674e-09
9.72310050e+00 3.88853604e-04 3.88853604e-09
9.68903159e+00 3.89495745e-04 3.89495745e-09
9.65508204e+00 3.90294594e-04 3.90294594e-09
9.62125146e+00 3.90852757e-04 3.90852757e-09
9.58753941e+00 3.89192075e-04 3.89192075e-09
9.55394549e+00 3.87867932e-04 3.87867932e-09
9.52046928e+00 3.89403015e-04 3.89403015e-09
9.48711036e+00 3.89214776e-04 3.89214776e-09
9.45386834e+00 3.90828615e-04 3.90828615e-09
9.42074279e+00 3.90076835e-04 3.90076835e-09
9.38773331e+00 3.90515466e-04 3.90515466e-09
9.35483949e+00 3.88454017e-04 3.88454017e-09
9.32206093e+00 3.90647228e-04 3.90647228e-09
9.28939722e+00 3.89375204e-04 3.89375204e-09
9.25684796e+00 3.90023959e-04 3.90023959e-09
9.22441275e+00 3.89013500e-04 3.89013500e-09
9.19209120e+00 3.90886650e-04 3.90886650e-09
9.15988289e+00 3.91457646e-04 3.91457646e-09
9.12778744e+00 3.89831951e-04 3.89831951e-09
9.09580445e+00 3.89656321e-04 3.89656321e-09
9.06393353e+00 3.90417731e-04 3.90417731e-09
9.03217428e+00 3.90430775e-04 3.90430775e-09
9.00052631e+00 3.90565042e-04 3.90565042e-09
8.96898923e+00 3.91914827e-04 3.91914827e-09
8.93756265e+00 3.91960244e-04 3.91960244e-09
8.90624619e+00 3.92601294e-04 3.92601294e-09
8.87503947e+00 3.89960359e-04 3.89960359e-09
8.84394208e+00 3.90146401e-04 3.90146401e-09
8.81295366e+00 3.92906244e-04 3.92906244e-09
8.78207382e+00 3.92962785e-04 3.92962785e-09
8.75130218e+00 3.93476686e-04 3.93476686e-09
8.72063837e+00 3.92264193e-04 3.92264193e-09
8.69008199e+00 3.90830166e-04 3.90830166e-09
8.65963268e+00 3.91212943e-04 3.91212943e-09
8.62929007e+00 3.91084917e-04 3.91084917e-09
8.59905377e+00 3.89790985e-04 3.89790985e-09
8.56892342e+00 3.92532961e-04 3.92532961e-09
8.53889864e+00 3.92141488e-04 3.92141488e-09
8.50897907e+00 3.92674133e-04 3.92674133e-09
8.47916433e+00 3.93235642e-04 3.93235642e-09
8.44945406e+00 3.93128640e-04 3.93128640e-09
8.41984789e+00 3.91937132e-04 3.91937132e-09
8.39034546e+00 3.95148399e-04 3.95148399e-09
8.36094640e+00 3.93256154e-04 3.93256154e-09
8.33165036e+00 3.95162770e-04 3.95162770e-09
8.30245696e+00 3.92272073e-04 3.92272073e-09
8.27336586e+00 3.93708850e-04 3.93708850e-09
8.24437669e+00 3.92765743e-04 3.92765743e-09
8.21548910e+00 3.94546863e-04 3.94546863e-09
8.18670272e+00 3.93164478e-04 3.93164478e-09
8.15801721e+00 3.92479389e-04 3.92479389e-09
8.12943222e+00 3.92952515e-04 3.92952515e-09
8.10094738e+00 3.93793435e-04 3.93793435e-09
8.07256235e+00 3.93830082e-04 3.93830082e-09
8.04427678e+00 3.93884805e-04 3.93884805e-09
8.01609032e+00 3.91830506e-04 3.91830506e-09
7.98800262e+00 3.94564517e-04 3.94564517e-09
7.96001334e+00 3.92930852e-04 3.92930852e-09
7.93212213e+00 3.92584033e-04 3.92584033e-09
7.90432865e+00 3.93677896e-04 3.93677896e-09
7.87663255e+00 3.93193706e-04 3.93193706e-09
7.84903350e+00 3.91810186e-04 3.91810186e-09
7.82153116e+00 3.93138619e-04 3.93138619e-09
7.79412518e+00 3.92876718e-04 3.92876718e-09
7.76681523e+00 3.93313363e-04 3.93313363e-09
7.73960097e+00 3.92900384e-04 3.92900384e-09
7.71248206e+00 3.92246944e-04 3.92246944e-09
7.68545818e+00 3.94067102e-04 3.94067102e-09
7.65852899e+00 3.93147652e-04 3.93147652e-09
7.63169416e+00 3.93591893e-04 3.93591893e-09
7.60495335e+00 3.94640290e-04 3.94640290e-09
7.57830624e+00 3.92133940e-04 3.92133940e-09
7.55175250e+00 3.89317396e-04 3.89317396e-09
7.52529180e+00 3.93650202e-04 3.93650202e-09
7.49892382e+00 3.92722357e-04 3.92722357e-09
7.47264823e+00 3.90519042e-04 3.90519042e-09
7.44646471e+00 3.91989826e-04 3.91989826e-09
7.42037293e+00 3.92977998e-04 3.92977998e-09
7.39437257e+00 3.89586301e-04 3.89586301e-09
7.36846332e+00 3.93109115e-04 3.93109115e-09
7.34264485e+00 3.92463452e-04 3.92463452e-09
7.31691685e+00 3.93091035e-04 3.93091035e-09
7.29127900e+00 3.92498042e-04 3.92498042e-09
7.26573098e+00 3.93505756e-04 3.93505756e-09
7.24027247e+00 3.93068575e-04 3.93068575e-09
7.21490318e+00 3.92849660e-04 3.92849660e-09
7.18962277e+00 3.92889533e-04 3.92889533e-09
7.16443094e+00 3.93597514e-04 3.93597514e-09
7.13932739e+00 3.93115874e-04 3.93115874e-09
7.11431179e+00 3.94751446e-04 3.94751446e-09
7.08938385e+00 3.95676874e-04 3.95676874e-09
7.06454325e+00 3.93099483e-04 3.93099483e-09
7.03978969e+00 3.93094681e-04 3.93094681e-09
7.01512287e+00 3.96395051e-04 3.96395051e-09
6.99054248e+00 3.93656977e-04 3.93656977e-09
6.96604821e+00 3.95029133e-04 3.95029133e-09
6.94163977e+00 3.95356214e-04 3.95356214e-09
6.91731685e+00 3.95461881e-04 3.95461881e-09
6.89307916e+00 3.95263308e-04 3.95263308e-09
6.86892640e+00 3.95472032e-04 3.95472032e-09
6.84485827e+00 3.95364633e-04 3.95364633e-09
6.82087447e+00 3.96408778e-04 3.96408778e-09
6.79697470e+00 3.94964961e-04 3.94964961e-09
6.77315868e+00 3.96369660e-04 3.96369660e-09
6.74942611e+00 3.95010850e-04 3.95010850e-09
6.72577670e+00 3.93155973e-04 3.93155973e-09
6.70221015e+00 3.94054705e-04 3.94054705e-09
6.67872617e+00 3.95726027e-04 3.95726027e-09
6.65532449e+00 3.93909611e-04 3.93909611e-09
6.63200480e+00 3.95914595e-04 3.95914595e-09
6.60876682e+00 3.93745417e-04 3.93745417e-09
6.58561026e+00 3.93392358e-04 3.93392358e-09
6.56253484e+00 3.93526711e-04 3.93526711e-09
6.53954028e+00 3.91836387e-04 3.91836387e-09
6.51662629e+00 3.89777405e-04 3.89777405e-09
6.49379258e+00 3.90267300e-04 3.90267300e-09
6.47103889e+00 3.90957824e-04 3.90957824e-09
6.44836492e+00 3.87315845e-04 3.87315845e-09
6.42577039e+00 3.87453206e-04 3.87453206e-09
6.40325504e+00 3.83019050e-04 3.83019050e-09
6.38081858e+00 3.86298864e-04 3.86298864e-09
6.35846074e+00 3.82508626e-04 3.82508626e-09
6.33618123e+00 3.83305129e-04 3.83305129e-09
